"Code","Scientific_Name","Description_en","Description_fr","Description_es"
"SPN","Sphyrna spp","Hammerhead sharks nei","Requins marteau nca","Cornudas(=Peces martillo) nep"
"SPO","Spongiidae","Sponges","Éponges","Esponjas"
"SPP","Phocaena dioptrica","Spectacled porpoise","Marsouin de Lahille","Marsopa de anteojos"
"SPQ","Sphyrna tudes","Smalleye hammerhead","Requin-marteau à petits yeux","Cornuda ojichica"
"SPR","Sprattus sprattus","European sprat","Sprat","Espadín"
"SPS","Drepane punctata","Spotted sicklefish","Forgeron tacheté","Catemo manchado"
"SPT","Leiostomus xanthurus","Spot croaker","Tambour croca","Verrugato croca"
"SPU","Dicentrarchus punctatus","Spotted seabass","Bar tacheté","Baila"
"SPV","Sphyrna couardi","Whitefin hammerhead","Requin-marteau aile blanche","Cornuda aliblanca"
"SPW","Physeter macrocephalus","Sperm whale","Cachalot","Cachalote"
"SPX","Salpidae","Salps","Salpes",""
"SPY","Sphyrnidae","Hammerhead sharks, etc. nei","Requins marteau, etc. nca","Cornudas, etc. nep"
"SPZ","Sphyrna zygaena","Smooth hammerhead","Requin-marteau commun","Cornuda cruz(=Pez martillo)"
"SQA","Illex argentinus","Argentine shortfin squid","Encornet rouge argentin","Pota argentina"
"SQB","Squalidus biwae","","",""
"SQC","Loligo spp","Common squids nei","Calmars Loligo nca","Calamares Loligo nep"
"SQD","Solen cylindraceus","Cylindrical razor shell","",""
"SQE","Todarodes sagittatus","European flying squid","Toutenon commun","Pota europea"
"SQF","Loligo forbesi","Veined squid","Encornet veiné","Calamar veteado"
"SQG","Todarodes angolensis","Angolan flying squid","Toutenon angolais","Pota angolense"
"SQH","Solenocera melantho","Razor mud shrimp","",""
"SQI","Illex illecebrosus","Northern shortfin squid","Encornet rouge nordique","Pota norteña"
"SQJ","Todarodes pacificus","Japanese flying squid","Toutenon japonais","Pota japonesa"
"SQK","Squaliobarbus curriculus","Barbel chub","",""
"SQL","Loligo pealeii","Longfin squid","Calmar totam","Calamar pálido"
"SQM","Illex coindetii","Broadtail shortfin squid","Encornet rouge","Pota voladora"
"SQO","Loligo opalescens","Opalescent inshore squid","Calmar opale","Calamar opalescente"
"SQP","Loligo gahi","Patagonian squid","Calmar de Patagonie","Calamar patagónico"
"SQR","Loligo vulgaris","European squid","Encornet","Calamar"
"SQS","Martialia hyadesi","Sevenstar flying squid","Encornet étoile","Pota festoneada"
"SQT","Lolliguncula spp","Thumbstall squids nei","Calmars doigtier nca","Calamares dedal nep"
"SQU","Loliginidae, Ommastrephidae","Various squids nei","Calmars, encornets nca","Calamares, jibias, potas nep"
"SQV","Solen strictus","Gould's razor shell","",""
"SQW","Stauropathes arctica","","",""
"SQY","Squillidae","Squillids nei","Squilles nca","Galeras nep"
"SQZ","Loliginidae","Inshore squids nei","Calmars côtiers nca","Calamares de cercano nep"
"SRA","Prionotus spp","Atlantic searobins","Grondins","Rubios americanos"
"SRB","Spratellomorpha bianalis","Two-finned round herring","",""
"SRC","Sectoria atriceps","","",""
"SRD","Serrasalmus brandti","White piranha","",""
"SRE","Scardinius erythrophthalmus","Rudd","Rotengle","Escardinio"
"SRF","Sarritor frenatus","Sawback poacher","",""
"SRG","Diplodus spp","Sargo breams nei","Sars, sparaillons nca","Sargos, raspallones nep"
"SRH","Spratelloides gracilis","Silver-stripe round herring","Hareng gracile","Arenquillo de banda"
"SRI","Siganus rivulatus","Marbled spinefoot","Poisson-lapin","Siguro"
"SRJ","Serranus hepatus","Brown comber","",""
"SRK","Serranus scriba","Painted comber","",""
"SRL","Sierrathrissa leonensis","West African pygmy herring","",""
"SRM","Serrasalmus rhombeus","Redeye piranha","",""
"SRN","Argyripnus atlanticus","","",""
"SRO","Silurus asotus","Amur catfish","",""
"SRP","Sardinops neopilchardus","Australian pilchard","",""
"SRQ","Sorsogona prionota","Halfspined flathead","",""
"SRR","Raja georgiana","Antarctic starry skate","Raie étoilée antarctique","Raya estrellada antártica"
"SRS","Ommatophoca rossii","Ross seal","Phoque de Ross","Foca de Ross"
"SRT","Schismatorhynchos heterorhynchos","","",""
"SRU","Serrasalmus elongatus","Slender piranha","",""
"SRV","Sternarchella curvioperculata","","",""
"SRW","Hyperoodon planifrons","Southern bottlenose whale","Hyperoodon austral","Ballena nariz de botella sur"
"SRX","Rajiformes","Rays, stingrays, mantas nei","Raies, pastenagues, mantes nca","Rayas, pastinacas, mantas nep"
"SRY","Satyrichthys adeni","","",""
"SRZ","Semele radiata","Radiate semele","",""
"SSA","Menidia menidia","Atlantic silverside","Capucette","Pejerrey del Atlántico"
"SSB","Lithognathus mormyrus","Sand steenbras","Marbré","Herrera"
"SSC","Pecten fumatus","Southern Australia scallop","Pecten d'Australie du Sud","Vieira australiana del Sur"
"SSD","Spisula spp","Surf clams nei","Spisules nca",""
"SSE","Pyura chilensis","Red sea squirt","Violet chilien","Piure chileno"
"SSF","Arctocephalus tropicalis","Subantarctic fur seal","Otarie sub-antarctique","Lobo fino de subantarctico"
"SSG","Microcosmus sulcatus","Grooved sea squirt","Violet","Provecho"
"SSH","Plesiopenaeus edwardsianus","Scarlet shrimp","Gambon écarlate","Gamba carabinero"
"SSI","Chaenocephalus aceratus","Blackfin icefish","Grande-gueule antarctique","Draco antártico"
"SSJ","Syngnathus schmidti","","",""
"SSK","Synaphobranchus kaupii","Kaup's arrowtooth eel","",""
"SSL","Eumetopias jubatus","Steller sea lion","Lion de mer de Steller","Lobo marino de Steller"
"SSM","Scomberomorus maculatus","Atlantic Spanish mackerel","Thazard atlantique","Carite atlántico"
"SSN","Sphyrna corona","Scalloped bonnethead","Requin-marteau cornu","Cornuda coronada"
"SSO","Pseudocyttus maculatus","Smooth oreo dory","",""
"SSP","Tetrapturus angustirostris","Shortbill spearfish","Makaire à rostre court","Marlín trompa corta"
"SSQ","Scymnodon squamulosus","Velvet dogfish","",""
"SSR","Pyura stolonifera","Red bait","",""
"SSS","Serrasalmus spilopleura","Speckled piranha","",""
"SST","Phoca largha","Larga seal","Veau marin du Pacifique","Foca largha"
"SSU","Semaprochilodus taeniurus","Silver prochilodus","",""
"SSV","Satyrichthys investigatoris","","",""
"SSW","Scorpaena angolensis","Angola rockfish","",""
"SSX","Ascidiacea","Sea squirts nei","Ascidiens nca","Ascidias nep"
"SSZ","Sciades herzbergii","Pemecou sea catfish","Mâchoiron pémécou","Bagre guatero"
"STA","Oreochromis andersonii","Three spotted tilapia","",""
"STB","Morone saxatilis","Striped bass","Bar d'Amérique","Lubina estriada"
"STC","Menippe mercenaria","Black stone crab","Crabe caillou noir","Cangrejo de piedra negro"
"STD","Steatogenys duidae","","",""
"STF","Asteroidea","Starfishes nei","Astéridés nca","Estrellas nep"
"STG","Cynoscion regalis","Squeteague(=Gray weakfish)","Acoupa royal","Corvinata real"
"STH","Asterias rubens","Red starfish","Étoile de mer rouge","Estrella de mar roja"
"STI","Dasyatis spp","Stingrays nei","Pastenagues nca","Pastinacas nep"
"STJ","Spondyliosoma emarginatum","Steentjie seabream","Dorade australe","Chopa austral"
"STK","Stipecampus cristatus","Ring-backed pipefish","",""
"STL","Encrasicholina punctifer","Buccaneer anchovy","Anchois boucanier","Boquerón bucanero"
"STM","Anostomus anostomus","Striped headstander","",""
"STO","Stolephorus spp","Stolephorus anchovies nei","Anchois Stolephorus nca","Boquerones Stolephorus nep"
"STP","Sander spp","Walleyes nei","Sandres nca","Luciopercas nep"
"STQ","Syngnathus typhle","Broadnosed pipefish","",""
"STS","Scomberomorus lineolatus","Streaked seerfish","Thazard cirrus","Carite rayado"
"STT","Dasyatidae","Stingrays, butterfly rays nei","Pastenagues, etc. nca","Pastinacas, etc. nep"
"STU","Acipenseridae","Sturgeons nei","Esturgeons nca","Esturiones nep"
"STV","Sander vitreus","Walleye","Sandre américain","Lucioperca americana"
"STW","Lithognathus spp","Steenbrasses nei","Marbrés nca","Herreras nep"
"STX","Syngnathus tenuirostris","","",""
"STY","Stygichthys typhlops","Blind tetra","",""
"STZ","Kathetostoma giganteum","Giant stargazer","Uranoscope géant","Miracielo gigante"
"SUA","Squatina aculeata","Sawback angelshark","Ange de mer épineux","Angelote espinudo"
"SUB","Saurogobio dabryi","Chinese lizard gudgeon","",""
"SUC","Squatina californica","Pacific angelshark","Ange de mer du Pacifique","Pez ángel del Pacífico"
"SUD","Squatina dumeril","Sand devil","Ange de mer de sable","Tiburón ángel"
"SUE","Squatina tergocellata","Ornate angelshark","Ange de mer bourgeois","Angelote ornamentado"
"SUF","Squatina africana","African angelshark","Ange de mer africain","Angelote africano"
"SUG","Squatina argentina","Argentine angelshark","Ange de mer argentin","Angelote argentino"
"SUH","Schistura balteata","","",""
"SUI","Sundoreonectes tiomanensis","","",""
"SUJ","Squatina japonica","Japanese angelshark","Ange de mer Kasuzame","Angelote japonés"
"SUK","Acanthochaenus lutkeni","","",""
"SUL","Squatina nebulosa","Clouded angelshark","Ange de mer nébuleux","Angelote nebuloso"
"SUM","Sauvagella madagascariensis","Madagascar round herring","",""
"SUN","Squatina tergocellatoides","Ocellated angelshark","Ange de mer dandy","Angelote ocelado"
"SUO","Squatina formosa","Taiwan angleshark","Ange de mer moinillon","Angelote de Taiwan"
"SUP","Spatuloricaria phelpsi","","",""
"SUQ","Squalogadus modificatus","","",""
"SUR","Acanthuridae","Surgeonfishes nei","Chirurgiens nca","Navajones nep"
"SUS","Hypomesus pretiosus","Surf smelt","Éperlan du Pacifique","Eperlano del Pacífico"
"SUT","Squatina oculata","Smoothback angelshark","Ange de mer ocellé","Pez ángel"
"SUU","Squatina australis","Australian angelshark","Ange de mer australien","Angelote australiano"
"SUV","Sturisoma festivum","","",""
"SUW","Silurus biwaensis","Eurasian catfish","",""
"SUX","Sundasalanx malleti","","",""
"SUY","Stauroteuthis syrtensis","","",""
"SUZ","Syngnathus taenionotus","","",""
"SVA","Solivomer arenidens","","",""
"SVB","Sterna bergii","Great crested tern","",""
"SVC","Hypophthalmichthys molitrix","Silver carp","Carpe argentée","Carpa plateada"
"SVD","Solen rudis","Rough jackknife","Couteau rude","Navaja ruda"
"SVE","Chamelea gallina","Striped venus","Petite praire","Chirla"
"SVF","Salvelinus fontinalis","Brook trout","Saumon de fontaine","Trucha de arroyo"
"SVG","Setarches guentheri","Channeled rockfish","",""
"SVH","Lepturacanthus savala","Savalai hairtail","Poisson-sabre cimeterre","Pez sable savalai"
"SVI","Sterna vittata","Antarctic tern","Sterna couronnée","Charrán antártico"
"SVJ","Sterna fuscata","Sooty tern","Sterne fuligineuse","Charrán sombrío"
"SVK","Solen kempi","Kemp's razor shell","",""
"SVL","Svetovidovia lucullus","","",""
"SVM","Solen malaccensis","Malacca razor shell","",""
"SVN","Salvelinus neiva","Neiva","",""
"SVO","Salvelinus confluentus","Bull trout","",""
"SVP","Salvelinus profundus","","",""
"SVR","Syngnathus variegatus","","",""
"SVS","Salvethymus svetovidovi","Long-finned charr","",""
"SVT","Sinonovacula constricta","Constricted tagelus","",""
"SVU","Solen roseomaculatus","Pink-spotted razor shell","Couteau à points roses",""
"SVV","Scorpaena stephanica","Spotted-fin rockfish","Rascasse à nageoires tachetées","Rascacio aleta manchada"
"SVW","Symbolophorus veranyi","Large-scale lantern fish","Lanterne à grandes écailles","Linterna"
"SVX","Stomatopoda","Stomatopods nei","Stomatopodes nca","Estomatopodos nep"
"SVY","Synaphobranchidae","Cutthroat eels nei","",""
"SVZ","Sterna spp","Terns nei","",""
"SWA","Diplodus sargus","White seabream","Sar commun","Sargo"
"SWB","Phaeophyceae","Brown seaweeds","Algues brunes","Algas pardas"
"SWC","Satyrichthys welchi","Robust armoured-gurnard","",""
"SWD","Sebastes reedi","Yellowmouth rockfish","",""
"SWE","Sawbwa resplendens","","",""
"SWF","Cynoscion nebulosus","Spotted weakfish","Acoupa pintade","Corvinata pintada"
"SWG","Chlorophyceae","Green seaweeds","Algues vertes","Algas verdes"
"SWH","Paristiopterus labiosus","Giant boarfish","",""
"SWI","Salvelinus willoughbii","","",""
"SWJ","Diplodus noct","Red Sea seabream","Sar de la Mer Rouge","Sargo del Mar Rojo"
"SWK","Stomias spp","","",""
"SWL","Sewellia lineolata","","",""
"SWM","Portunidae","Swimming crabs, etc. nei","Crabes, étrilles nca","Jaibas, cangrejos etc. nep"
"SWN","Schwetzochromis neodon","","",""
"SWO","Xiphias gladius","Swordfish","Espadon","Pez espada"
"SWP","Dilsea carnosa","Fleshy dilsea","Dilsea charnue","Dilsea carnosa"
"SWQ","Delesseria sanguinea","Red delesseria","Délesseria rouge","Delesseria roja"
"SWR","Rhodophyceae","Red seaweeds","Algues rouges","Algas rojas"
"SWS","Chionis alba","Snowy sheathbill","",""
"SWT","Anodonta cygnea","Swan mussel","",""
"SWU","Cottidae","Sculpins nei","Chabots nca","Cótidos nep"
"SWV","Squatina guggenheim","Angular angel shark","","Angelito"
"SWW","Swiftopecten swiftii","Swift's scallop","",""
"SWX","Algae","Seaweeds nei","Algues nca","Algas nep"
"SWY","Syngnathus spp","Pipefishes nei","",""
"SWZ","Schizothorax yunnanensis","","",""
"SXA","Stalix histrio","","",""
"SXB","Pagellus affinis","Arabian pandora","Pageot d'Arabie","Pandora árabe"
"SXC","Pseudocaranx chilensis","Juan Fernandez trevally","Carangue chilienne","Pámpano chileno"
"SXD","Sternoptyx diaphana","Diaphanous hatchet fish","",""
"SXE","Schedophilus spp","Schedophilus nei","Rouffes nca","Rufos nep"
"SXF","Sonorolux fluminis","Estuary croaker","",""
"SXG","Salminus hilarii","","",""
"SXH","Scombrolabrax heterolepis","Longfin escolar","",""
"SXI","Saxidomus nuttalli","Common butter clam","",""
"SXJ","Strombus tricornis","Three-knobbed conch","Strombe tricorne",""
"SXL","Stichaeopsis epallax","","",""
"SXM","Scopeloberyx microlepis","","",""
"SXN","Springeratus xanthosoma","","",""
"SXO","Stellerina xyosterna","Pricklebreast poacher","",""
"SXP","Sternoptyx pseudobscura","Highlight hatchetfish","",""
"SXQ","Arctocephalus spp","Fur seals nei","Otaries nca","Lobos finos nep"
"SXR","Synbranchus marmoratus","Marbled swamp eel","",""
"SXS","Solenostomus paradoxus","Harlequin ghost pipefish","",""
"SXT","Solenocera hextii","Deep-sea mud shrimp","Salicoque des vases profondes","Camarón fanguero de altura"
"SXU","Salminus brasiliensis","Dorado","","Pirayú"
"SXW","Pseudocaranx wrighti","Skipjack trevally","",""
"SXX","Otariidae, Phocidae","Seals nei","Phoques nca","Focas nep"
"SXY","Strongylura exilis","Californian needlefish","",""
"SXZ","Schizodon spp","","",""
"SYA","Scyliorhinus boa","Boa catshark","Roussette boa","Alitán boa"
"SYB","Scyliorhinus besnardi","Polkadot catshark","Roussette polka","Alitán de lunares"
"SYC","Scyliorhinus canicula","Small-spotted catshark","Petite roussette","Pintarroja"
"SYD","Sphaerophysa dianchiensis","","",""
"SYE","Scyliorhinus cervigoni","West African catshark","Roussette thalassa","Alitán africano"
"SYF","Scyliorhinus retifer","Chain catshark","Roussette maille","Alitán mallero"
"SYG","Scyliorhinus garmani","Brownspotted catshark","Roussette à taches brunes","Alitán manchado"
"SYH","Scyliorhinus haeckelii","Freckled catshark","Roussette taches de son","Alitán pecoso"
"SYI","Scyliorhinus torrei","Dwarf catshark","Roussette naine","Alitán enano"
"SYJ","Scopelengys tristis","Pacific blackchin","",""
"SYK","Scyliorhinus tokubee","","",""
"SYL","Synodus lucioceps","California lizardfish","",""
"SYM","Scyliorhinus meadi","Blotched catshark","Roussette cloquée","Alitán pintarrajo"
"SYN","Synagrops japonicus","Blackmouth splitfin","Maconde bouche noire","Maconda boquinegra"
"SYO","Scymnodon obscurus","Smallmouth knifetooth dogfish","Squale-grogneur à queue échan.","Bruja bocachica"
"SYP","Scyliorhinus capensis","Yellowspotted catshark","Roussette à taches jaunes","Alitán de manchas amarillas"
"SYQ","Strongylura leiura","Banded needlefish","",""
"SYR","Scymnodon ringens","Knifetooth dogfish","Squale-grogneur commun","Bruja"
"SYS","Synagrops spp","Splitfins nei","Macondes nca","Macondas, dentiños nep"
"SYT","Scyliorhinus stellaris","Nursehound","Grande roussette","Alitán"
"SYU","Scyliorhinus hesperius","Whitesaddled catshark","Roussette selle blanche","Alitán ensillado"
"SYV","Synodus evermanni","Inotted lizardfish","",""
"SYW","Synodus variegatus","Variegated lizardfish","",""
"SYX","Scyliorhinidae","Catsharks, etc. nei","Chiens,holbiches,rousset. nca","Alitanes,pejegatos,pintar. nep"
"SYY","Sternarchorhynchus curvirostris","","",""
"SYZ","Scyliorhinus torazame","Cloudy catshark","Roussette nuageuse","Alitán nubarrado"
"SZA","Synagrops bellus","Blackmouth bass","",""
"SZB","Schizocypris brucei","","",""
"SZC","Sander canadensis","Sauger","Sandre canadien","Lucioperca canadiense"
"SZD","Schubotzia eduardiana","","",""
"SZE","Schizothorax esocinus","","",""
"SZF","Schizodon fasciatus","","",""
"SZG","Synchirus gilli","Manacled sculpin","",""
"SZH","Sparidentex hasta","Sobaity seabream","Spare sobaity","Sargo sobaito"
"SZI","Solea elongata","Elongate sole","Sole élancée","Lenguado larguirucho"
"SZJ","Squatina occulta","Hidden angel shark","",""
"SZK","Solenocera spp","Solenocera shrimps nei","Salicoques Solenocera nca","Camarones Solenocera nep"
"SZL","Sinogastromyzon puliensis","","",""
"SZM","Salangichthys microdon","Japanese icefish","",""
"SZN","Chamelea striatula","","",""
"SZO","Schizodon corti","","",""
"SZP","Schizopygopsis pylzovi","","",""
"SZQ","Suezichthys arquatus","Rainbow slender wrasse","",""
"SZR","Schizothorax richardsonii","Common snowtrout","",""
"SZS","Serpulidae","Serpulid tube worms","",""
"SZT","Pogonophryne scotti","","",""
"SZU","Schizothorax curvifrons","Sattar snowtrout","",""
"SZV","Sulidae","Boobies and gannets nei","",""
"SZW","Strongylura senegalensis","Senegal needlefish","Aiguillette sénégalaise","Agujón senegalés"
"SZX","Saurida spp","","",""
"SZY","Scyphozoa","","",""
"SZZ","Synagrops microlepis","Smallscale splitfin","",""
"TAA","Thalassoica antarctica","Antarctic petrel","Fulmar antarctique","Petrel antártico"
"TAB","Talismania bifurcata","Threadfin slickhead","",""
"TAC","Spicara melanurus","Blackspot picarel","Picarel de l'Atlantique sud-es","Sucla"
"TAD","Tangachromis dhanisi","","",""
"TAE","Tarletonbeania crenularis","Blue lanternfish","",""
"TAF","Stegastes fasciolatus","Pacific gregory","",""
"TAG","Taenioides anguillaris","Eel worm goby","",""
"TAH","Taeniochromis holotaenia","","",""
"TAI","Megalops cyprinoides","Indo-Pacific tarpon","Tarpon indo-pacifique","Tarpón del Indo-Pacífico"
"TAJ","Tanganicodus irsacae","Spotfin goby cichlid","",""
"TAK","Nemadactylus macropterus","Tarakihi","",""
"TAL","Taractichthys longipinnis","Big-scale pomfret","",""
"TAM","Tilapia cameronensis","","",""
"TAN","Thysanophrys arenicola","Broadhead flathead","",""
"TAO","Tateurndina ocellicauda","Peacock gudgeon","",""
"TAP","Trachinotus paitensis","Paloma pompano","Pompaneau colombe","Pámpano paloma"
"TAQ","Thalassina anomala","Scorpion mud lobster","",""
"TAR","Megalops atlanticus","Tarpon","Tarpon argenté","Tarpón"
"TAS","Taractes asper","Rough pomfret","",""
"TAT","Tatia altae","","",""
"TAU","Tautoga onitis","Tautog","Tautogue noir",""
"TAV","Tonna allium","Costate tun","Tonne côtelée",""
"TAW","Thamnaconus spp","Horse-faced file fishes nei","",""
"TAX","Thalamita spinimana","Spiny claw swimming crab","",""
"TAY","Taaningichthys bathyphilus","","",""
"TAZ","Tahuantinsuyoa macantzatza","","",""
"TBA","Trachinotus baillonii","Small spotted dart","Pompaneau muscadin","Pámpano abotonado"
"TBB","Stromboli beebei","Stromboli keyhole limpet","Fissurelle Stromboli","Fisurela Stromboli"
"TBC","Tapes belcheri","Belcher's venus","Palourde de Belcher",""
"TBD","Stonogobiops dracula","","",""
"TBE","Terebellum terebellum","Terebellum conch","Térébelle",""
"TBF","Chaetobranchus flavescens","","",""
"TBG","Strombus galeatus","Giant Eastern Pacific conch","Strombe cambute","Cobo cambute"
"TBH","Tylosurus choram","Red Sea houndfish","",""
"TBI","Strombus gracilior","Eastern Pacific fighting conch","Strombe du Pacifique oriental","Cobo del Pacífico oriental"
"TBJ","Strombina fusinoidea","Slender strombina","Colombelle élancée","Estrombina alargada"
"TBK","Typhlobagrus kronei","","",""
"TBL","Astrabe lactisella","","",""
"TBM","Troglocambarus maclanei","Spider cave crayfish","",""
"TBN","Tosarhombus neocaledonicus","","",""
"TBO","Tetrabrachium ocellatum","","",""
"TBP","Terebralia palustris","Mud creeper","Potamide des marais",""
"TBQ","Strombus granulatus","Granulated conch","Strombe granuleux","Cobo granulado"
"TBR","Ctenolabrus rupestris","Goldsinny-wrasse","Rouquié","Tabernero"
"TBS","Tongaichthys robustus","Tonga escolar","Escolier tonga","Escolar de Tonga"
"TBT","Tribolodon taczanowskii","","",""
"TBU","Trianectes bucephalus","Bullhead triplefin","",""
"TBV","Strombus peruvianus","Cock's comb conch","Strombe crête de coq","Cobo cresta de gallo"
"TBW","Stercorarius parasiticus","Arctic skua","Labbe parasite","Págalo parásito"
"TBX","Terebralia sulcata","Sulcate swamp cerith","Potamide sillonne",""
"TBY","Trachypenaeus byrdi","Carabali shrimp","Crevette carabali","Camarón carabali"
"TCA","Trichomycterus alternatum","","",""
"TCB","Tathicarpus butleri","Butler's frogfish","",""
"TCC","Cottapistus cottoides","Marbled stingfish","",""
"TCD","Taeniacara candidi","","",""
"TCE","Richardsonichthys leucogaster","Whiteface waspfish","",""
"TCF","Trachidermus fasciatus","Roughskin sculpin","",""
"TCG","Coccotropsis gymnoderma","","",""
"TCH","Ptychochromis oligacanthus","","",""
"TCI","Trachinotus africanus","Southern pompano","Pompaneau africain","Pámpano africano"
"TCJ","Pterochromis congicus","","",""
"TCK","Trachinotus anak","Oyster pompano","",""
"TCL","Protothaca thaca","Taca clam","Palourde taca","Taca"
"TCM","Triglachromis otostigma","","",""
"TCN","Trachinotus cayennensis","Cayenne pompano","Pompaneau cordonnier","Pámpano zapatero"
"TCO","Trachinotus botla","Largespotted dart","Pompaneau pierrot","Pámpano pastilla"
"TCP","Trachinotus coppingeri","Swallowtail dart","",""
"TCQ","Trachypenaeus gonospinifer","Northern rough shrimp","Crevette gambri nordique","Camarón fijador norteño"
"TCR","Taractes rubescens","","",""
"TCS","Catlocarpio siamensis","Giant barb","",""
"TCT","Centropogon australis","Fortescue","",""
"TCU","Trachichthys australis","","",""
"TCV","Ctenochaetus striatus","Striated surgeonfish","Chirurgien strié","Cirujano estriado"
"TCW","Trichiurus spp","Hairtails nei","Poissons-sabres nca","Peces sable nep"
"TCX","Tectonatica filosa","Flamed moon-shell","Natice à lignes","Natica llameante"
"TCY","Synodus myops","Snakefish","Anoli serpent","Lagarto ñato"
"TCZ","Thaumastocheles zaleucus","Atlantic pincer lobster","",""
"TDA","Tripterygion delaisi","Black-faced blenny","",""
"TDB","Tridentiger barbatus","","",""
"TDC","Trichodon trichodon","Pacific sandfish","",""
"TDD","Tridacna derasa","Smooth giant clam","Grande tridacne brillante",""
"TDE","Tridens melanops","","",""
"TDF","Batrachoides spp","Toadfishes nei","Crapauds nca","Sapos nep"
"TDG","Tridacna gigas","Giant clam","Tridacne géante","Almeja gigante"
"TDH","Paratriacanthodes herrei","","",""
"TDI","Tetraodon cutcutia","","",""
"TDJ","Thamnaconus modestoides","Modest filefish","",""
"TDK","Tandanus bostocki","Freshwater cobbler","",""
"TDL","Tetraodon pustulatus","","",""
"TDM","Triacanthodes anomalus","","",""
"TDN","Platytaeniodus degeni","","",""
"TDO","Tripterodon orbis","African spadefish","",""
"TDP","Tridentopsis pearsoni","","",""
"TDQ","Todaropsis eblanae","Lesser flying squid","Toutenon souffleur","Pota costera"
"TDR","Tridensimilis brevis","","",""
"TDS","Tridacna squamosa","Fluted giant clam","Grande tridacne gaufrée",""
"TDT","Tandanus tandanus","Tandan catfish","",""
"TDU","Triodon macropterus","Threetooth puffer","",""
"TDV","Tydemania navigatoris","Fleshy-lipped spikefish","",""
"TDW","Taratretis derwentensis","Derwent flounder","",""
"TDX","Trachycardium egmontianum","American prickly cockle","",""
"TDY","Spathodus erythrodon","","",""
"TDZ","Trachypenaeus sedili","Malayan rough shrimp","Crevette gambri malaise","Camarón fijador malayo"
"TEA","Tetragonopterus argenteus","","",""
"TEB","Telmatherina abendanoni","","",""
"TEC","Pterocaesio chrysozona","Goldband fusilier","Caesio à ceinture d'or","Fusilero cinta dorada"
"TED","Pterocaesio digramma","Double-lined fusilier","Fusilier à deux bandes jaunes","Fusilero de dos bandas"
"TEE","Pteraclis aesticola","Pacific fanfish","",""
"TEF","Theragra finnmarchica","Norwegian pollock","Lieu de Norvège","Colín de Noruega"
"TEG","Ctenosciaena gracilicirrhus","Barbel drum","",""
"TEH","Terapon theraps","Largescaled terapon","",""
"TEI","Pterocaesio pisang","Banana fusilier","Fusilier banane","Fusilero banana"
"TEJ","Stereolepis gigas","Giant seabass","Bar gigantesque","Lubina gigante"
"TEK","Stegastes apicalis","Australian gregory","",""
"TEL","Stereolepis doederleini","","",""
"TEM","Cteniloricaria maculata","","",""
"TEN","Ctenopoma petherici","","",""
"TEO","Tetraroge barbata","Bearded roguefish","",""
"TEP","Steeneichthys plesiopsus","","",""
"TEQ","Tetrosomus concatenatus","Triangular boxfish","",""
"TES","Thermarces cerberus","","",""
"TET","Pterocaesio tessellata","One-stripe fusilier","Fusilier à une bande","Fusilero de una banda"
"TEU","Terapon puta","Small-scaled terapon","",""
"TEV","Stenocionops ovata","Velvet spidercrab","Crabe araignée velours","Cangrejo araña terciopelo"
"TEW","Pteria sterna","Western wing oyster","Avicule ailee",""
"TEX","Tagelus plebeius","Stout tagelus","",""
"TEY","Tagelus californianus","Californian tagelus","Tagal californien","Tagelo californiano"
"TEZ","Paradiplospinus antarcticus","Antarctic escolar","Escolier antarctique","Escolar antártico"
"TFA","Typhleotris madagascariensis","","",""
"TFB","Batrachoides surinamensis","Pacuma toadfish","Crapaud guyanais","Sapo guayanés"
"TFC","Trinorfolkia clarkei","Clarke's triplefin","",""
"TFD","Batrachoididae","Toadfishes, etc. nei","Crapauds, etc. nca","Sapos, etc. nep"
"TFE","Tarphops elegans","","",""
"TFF","Triglops forficatus","Scissortail sculpin","",""
"TFG","Scatophagus argus","Spotted scat","",""
"TFH","Stercorarius skua","Skua","Grand labbe","Págalo grande"
"TFI","Trichonotus filamentosus","","",""
"TFJ","Trachypenaeus fuscina","Pinto shrimp","Crevette pinto","Camarón pinto"
"TFK","Tellina foliacea","Foliated tellin","Telline foliacée",""
"TFL","Typhlogobius californiensis","Blind goby","",""
"TFM","Furgaleus macki","Whiskery shark","Émissole moustachue","Cazón bigotudo"
"TFN","Tropheus annectens","","",""
"TFO","Trachypenaeus faoe","Indio shrimp","Crevette gambri indienne","Camarón fijador indio"
"TFP","Todarodes filippovae","Antarctic flying squid","Toutenon antarctique","Jibia antártica"
"TFQ","Thelenota ananas","Prickly redfish","Holothurie ananas",""
"TFR","Strophiurichthys robustus","Chubby basketfish","",""
"TFS","Tephrinectes sinensis","","",""
"TFT","Ctenogobius fasciatus","Blotchcheek goby","",""
"TFU","Pterophyllum altum","","",""
"TFV","Trachypenaeus fulvus","Brown rough shrimp","Crevette gambri brune","Camarón fijador marrón"
"TFW","Spatangus mathesoni","Matheson’s heart urchin","",""
"TFX","Tetraodon spp","","",""
"TFY","Spatangus multispinus","Purple-heart urchin","",""
"TFZ","Tribolodon hakonensis","Big-scaled redfin","",""
"TGA","Polydactylus quadrifilis","Giant African threadfin","Gros capitaine","Barbudo gigante africano"
"TGB","Pteragogus amboinensis","","",""
"TGC","Tiaroga cobitis","Loach minnow","",""
"TGD","Stegastes dorsopunicans","Dusky damselfish","",""
